"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","last_modified","latitude","longitude"
"45",3602379,18150109,"Entire home/apt",NA,"Roxbury",103,4.5,4,1,159,NA,"2017-01-14 08:40:57.155290",42.329091,-71.094573
"46",8556025,45037374,"Entire home/apt",NA,"North End",103,5,4,2,175,NA,"2017-01-14 08:40:57.121901",42.367585,-71.056305
"47",8036024,42431392,"Entire home/apt",NA,"North End",115,5,3,1,150,NA,"2017-01-14 08:40:54.597859",42.363456,-71.057207
"48",7003280,36057933,"Entire home/apt",NA,"South Boston",123,4.5,4,2,157,NA,"2017-01-14 08:40:54.588368",42.329982,-71.056171
"49",1615033,3637081,"Entire home/apt",NA,"North End",254,4.5,2,1,135,NA,"2017-01-14 08:39:23.927273",42.36796,-71.055729
"50",7330494,38403389,"Entire home/apt",NA,"South Boston",107,5,2,1,106,NA,"2017-01-14 08:38:52.751488",42.330625,-71.05558
"51",2898226,10716287,"Entire home/apt",NA,"North End",148,4.5,3,1,111,NA,"2017-01-14 08:38:51.497636",42.364544,-71.053269
"52",1327725,7205617,"Entire home/apt",NA,"Brighton",144,4.5,4,2,115,NA,"2017-01-14 08:38:41.370952",42.345668,-71.139219
"53",2174711,5618949,"Entire home/apt",NA,"Longwood Medical Area",110,4.5,4,0,110,NA,"2017-01-14 08:38:37.731209",42.339383,-71.100172
"54",619142,501427,"Entire home/apt",NA,"Charlestown",112,5,2,1,175,NA,"2017-01-14 08:41:10.827638",42.378079,-71.063433
"55",36885,159160,"Entire home/apt",NA,"Fenway",128,5,2,1,125,NA,"2017-01-14 08:39:37.377842",42.346335,-71.088323
"56",6089865,3637081,"Entire home/apt",NA,"North End",147,5,2,1,125,NA,"2017-01-14 08:39:35.819475",42.366924,-71.056076
"57",815639,3637081,"Entire home/apt",NA,"North End",310,4.5,2,1,125,NA,"2017-01-14 08:39:33.803066",42.367581,-71.056113
"58",916123,3637081,"Entire home/apt",NA,"North End",311,4.5,2,1,125,NA,"2017-01-14 08:39:32.158962",42.367223,-71.05736
"59",766700,3637081,"Entire home/apt",NA,"North End",276,4.5,2,1,125,NA,"2017-01-14 08:39:32.146156",42.366393,-71.055369
"60",891661,4737456,"Entire home/apt",NA,"North End",210,4.5,4,1,125,NA,"2017-01-14 08:39:32.138585",42.368531,-71.053626
"61",414419,2027295,"Entire home/apt",NA,"Back Bay",336,4.5,3,1,110,NA,"2017-01-14 08:38:31.642443",42.35387,-71.079723
"62",6181758,31804748,"Entire home/apt",NA,"Downtown",117,5,4,2,100,NA,"2017-01-14 08:37:47.642992",42.357152,-71.059537
"63",311240,1600541,"Entire home/apt",NA,"Back Bay",107,4.5,2,0,100,NA,"2017-01-14 08:37:31.959388",42.352624,-71.080514
"64",3992208,324630,"Entire home/apt",NA,"Fenway",213,4,4,0,99,NA,"2017-01-14 08:37:22.288213",42.346215,-71.09372
"65",3068453,2356643,"Entire home/apt",NA,"Downtown",105,4,3,0,85,NA,"2017-01-14 08:37:11.676659",42.35188,-71.064181
"66",4359160,324630,"Entire home/apt",NA,"Beacon Hill",216,4,2,0,99,NA,"2017-01-14 08:37:08.564498",42.361079,-71.065625
"67",4924910,24997738,"Entire home/apt",NA,"North End",133,4.5,2,1,99,NA,"2017-01-14 08:36:51.618984",42.365763,-71.057356
"68",536865,2618808,"Entire home/apt",NA,"Dorchester",195,4.5,4,2,90,NA,"2017-01-14 08:36:50.307810",42.310864,-71.06815
"69",2776143,324630,"Entire home/apt",NA,"Beacon Hill",272,4,3,0,99,NA,"2017-01-14 08:36:47.932699",42.360873,-71.066672
"70",8400275,324630,"Entire home/apt",NA,"Fenway",103,4,3,0,99,NA,"2017-01-14 08:36:47.925002",42.345691,-71.093266
"71",6742905,324630,"Entire home/apt",NA,"Beacon Hill",149,3.5,2,0,99,NA,"2017-01-14 08:36:46.193149",42.361087,-71.06532
"72",3616081,18190121,"Entire home/apt",NA,"Jamaica Plain",139,5,3,1,93,NA,"2017-01-14 08:36:44.998395",42.31962,-71.104829
"73",4765070,24584716,"Entire home/apt",NA,"Jamaica Plain",165,4.5,2,0,90,NA,"2017-01-14 08:36:44.376421",42.325089,-71.10723
"74",1695275,324630,"Entire home/apt",NA,"Fenway",293,4,4,1,99,NA,"2017-01-14 08:36:44.336511",42.347726,-71.093948
"75",1497879,2776892,"Entire home/apt",NA,"East Boston",371,4.5,3,1,99,NA,"2017-01-14 08:36:43.116074",42.366885,-71.036151
"76",4909590,25279966,"Entire home/apt",NA,"Allston",122,5,4,0,60,NA,"2017-01-14 08:36:41.012664",42.350493,-71.133281
"77",197972,965697,"Entire home/apt",NA,"Jamaica Plain",252,5,3,1,80,NA,"2017-01-14 08:36:25.047130",42.317321,-71.108338
"78",1071235,965697,"Entire home/apt",NA,"Jamaica Plain",169,4.5,2,1,70,NA,"2017-01-14 08:36:23.480224",42.317478,-71.108195
"79",66288,324630,"Entire home/apt",NA,"Mission Hill",431,4,2,0,75,NA,"2017-01-14 08:36:23.446809",42.332152,-71.106742
"80",9896713,19509044,"Entire home/apt",NA,"Brighton",126,4.5,5,1,49,NA,"2017-01-14 08:36:21.936181",42.347416,-71.167319
"81",4568116,11228809,"Entire home/apt",NA,"Roxbury",203,5,2,1,50,NA,"2017-01-14 08:36:21.903162",42.329527,-71.09199
"82",994138,5460465,"Private room",NA,"South Boston",106,5,3,1,185,NA,"2017-01-14 08:36:15.963111",42.336436,-71.039312
"83",526970,85770,"Private room",NA,"South End",116,4.5,2,1,142,NA,"2017-01-14 08:35:39.744463",42.34523,-71.072823
"84",625012,3100734,"Private room",NA,"South End",124,5,2,1,250,NA,"2017-01-14 08:26:46.719382",42.347071,-71.07247
"85",2021274,1417977,"Private room",NA,"South Boston",107,4.5,5,1,175,NA,"2017-01-14 08:26:31.177441",42.333818,-71.033196
"86",4863101,8157833,"Private room",NA,"South Boston",124,4.5,2,1,130,NA,"2017-01-14 08:26:27.705440",42.335695,-71.051267
"87",4863108,8157833,"Private room",NA,"South Boston",119,4.5,2,1,122,NA,"2017-01-14 08:26:21.460011",42.337748,-71.051454
"88",1038465,85770,"Private room",NA,"South End",179,4.5,1,1,135,NA,"2017-01-14 08:26:19.389311",42.346437,-71.074808
"89",1167221,92630065,"Private room",NA,"Jamaica Plain",107,5,3,1,130,NA,"2017-01-14 08:26:18.044961",42.307768,-71.116258
"90",22354,85770,"Private room",NA,"South End",234,4.5,1,1,110,NA,"2017-01-14 08:25:05.810608",42.344957,-71.074857
"91",568234,2796082,"Private room",NA,"Jamaica Plain",149,5,4,1,110,NA,"2017-01-14 08:25:05.785375",42.303347,-71.104974
"92",2846739,85770,"Private room",NA,"South End",114,4.5,1,1,125,NA,"2017-01-14 08:26:22.623012",42.346233,-71.073639
"93",6954861,36453929,"Private room",NA,"Brighton",111,5,2,1,99,NA,"2017-01-14 08:20:07.351941",42.338819,-71.148039
"94",7693354,28184994,"Private room",NA,"Dorchester",136,4.5,2,1,82,NA,"2017-01-14 08:19:58.300843",42.312676,-71.053716
"95",4820071,93916,"Private room",NA,"East Boston",201,5,3,1,120,NA,"2017-01-14 08:25:04.450731",42.374169,-71.03424
"96",217498,1123263,"Private room",NA,"Brighton",131,5,2,1,100,NA,"2017-01-14 08:22:52.493326",42.352573,-71.150565
"97",3727560,19036819,"Private room",NA,"Roxbury",103,4.5,2,1,85,NA,"2017-01-14 08:19:45.962819",42.329231,-71.079758
"98",1141522,1407005,"Private room",NA,"East Boston",281,4.5,2,1,100,NA,"2017-01-14 08:19:44.636048",42.37752,-71.034181
